"Date","Open","High","Low","Close","Volume"
"05/01/2000","97.79","97.59","97.59","97.59","11384.12"
"06/01/2000","97.59","97.59","97.59","97.59","20493.47"
"07/01/2000","97.59","97.59","97.59","97.59","6414.46"
"12/01/2000","97.4","97.4","97.4","97.4","28014.57"
"13/01/2000","97.4","97.4","97.4","97.4","22542.82"
"14/01/2000","97.4","98.08","98.08","98.08","2233.79"
"17/01/2000","97.4","97.4","97.4","97.4","307.4"
"20/01/2000","97.4","97.4","97.4","97.4","3278.96"
"24/01/2000","97.59","98.08","98.08","98.08","21518.14"
"26/01/2000","97.59","97.59","97.59","97.59","2766.62"
"27/01/2000","97.59","97.59","97.59","97.59","40986.94"
"28/01/2000","97.4","97.4","97.4","97.4","204.93"
"31/01/2000","97.49","97.49","97.49","97.49","1024.67"
"02/02/2000","96.62","96.62","96.62","96.62","5738.17"
"04/02/2000","96.62","97.01","97.01","97.01","33301.89"
"07/02/2000","96.62","95.64","95.64","95.64","12296.08"
"08/02/2000","96.62","96.62","96.62","96.62","1127.14"
"09/02/2000","96.52","96.52","96.52","96.52","102.47"
"10/02/2000","95.64","95.64","95.64","95.64","5123.37"
"11/02/2000","95.84","95.84","95.84","95.84","41181.63"
"16/02/2000","95.45","95.45","95.45","95.45","1209.11"
"17/02/2000","95.45","95.45","95.45","95.45","1065.66"
"18/02/2000","95.15","94.86","94.86","94.86","44573.3"
"21/02/2000","94.66","94.66","94.66","94.66","112.71"
"22/02/2000","94.66","94.18","94.18","94.18","3074.02"
"23/02/2000","94.18","93.4","93.4","93.4","69114.22"
"24/02/2000","93.4","92.71","92.71","92.71","14191.73"
"25/02/2000","93.2","90.27","90.27","90.27","9478.23"
"28/02/2000","92.71","91.25","91.25","91.25","89054.37"
"29/02/2000","90.96","91.25","91.25","91.25","5522.99"
"01/03/2000","91.44","91.25","91.25","91.25","5123.37"
"02/03/2000","91.44","91.05","91.05","91.05","19468.8"
"03/03/2000","91.25","90.76","90.76","90.76","177268.51"
"06/03/2000","90.76","90.27","90.27","90.27","17860.06"
"07/03/2000","90.27","90.27","90.27","90.27","3176.49"
"08/03/2000","90.27","90.27","90.27","90.27","1024.67"
"09/03/2000","90.76","90.76","90.76","90.76","10338.96"
"10/03/2000","91.64","91.74","91.74","91.74","20083.6"
"13/03/2000","92.71","92.71","92.71","92.71","2049.35"
"14/03/2000","92.71","92.61","92.61","92.61","2910.07"
"15/03/2000","92.71","92.71","92.71","92.71","1537.01"
"16/03/2000","92.71","91.74","91.74","91.74","1741.94"
"20/03/2000","92.71","92.61","92.61","92.61","11271.41"
"21/03/2000","92.71","92.13","92.13","92.13","3074.02"
"22/03/2000","91.74","91.74","91.74","91.74","4088.45"
"24/03/2000","91.64","91.25","91.25","91.25","12296.08"
"27/03/2000","91.74","91.74","91.74","91.74","8627.75"
"28/03/2000","91.74","92.71","92.71","92.71","1332.08"
"29/03/2000","92.71","92.52","92.52","92.52","27953.09"
"30/03/2000","92.42","92.42","92.42","92.42","1332.08"
"31/03/2000","91.74","91.74","91.74","91.74","15370.1"
"03/04/2000","91.74","91.74","91.74","91.74","90570.88"
"04/04/2000","91.74","91.74","91.74","91.74","3873.27"
"07/04/2000","91.25","91.25","91.25","91.25","81615.24"
"10/04/2000","90.76","90.76","90.76","90.76","66747.23"
"11/04/2000","90.27","90.27","90.27","90.27","1864.91"
"12/04/2000","89.88","89.78","89.78","89.78","7480.12"
"13/04/2000","90.76","90.66","90.66","90.66","23157.62"
"14/04/2000","90.96","88.81","88.81","88.81","922.21"
"17/04/2000","88.81","88.81","88.81","88.81","15769.72"
"18/04/2000","87.83","87.83","87.83","87.83","461.1"
"19/04/2000","88.32","92.22","92.22","92.22","65066.76"
"20/04/2000","91.74","91.64","91.64","91.64","20093.85"
"21/04/2000","88.81","91.15","91.15","91.15","17173.53"
"24/04/2000","89.78","89.78","89.78","89.78","10246.73"
"25/04/2000","89.78","88.81","88.81","88.81","3278.96"
"26/04/2000","89.69","88.81","88.81","88.81","239896.55"
"27/04/2000","88.61","88.81","88.81","88.81","4590.54"
"28/04/2000","88.61","88.52","88.52","88.52","2561.68"
"02/05/2000","88.52","88.52","88.52","88.52","409.87"
"03/05/2000","88.71","85.88","85.88","85.88","41652.98"
"04/05/2000","87.74","88.61","88.61","88.61","11824.73"
"05/05/2000","89.59","87.93","87.93","87.93","6834.57"
"09/05/2000","88.61","88.81","88.81","88.81","10441.42"
"10/05/2000","88.81","90.76","90.76","90.76","21241.48"
"11/05/2000","91.15","91.74","91.74","91.74","1711.2"
"12/05/2000","91.93","92.22","92.22","92.22","42165.31"
"15/05/2000","92.71","92.22","92.22","92.22","12910.88"
"16/05/2000","91.83","92.22","92.22","92.22","18403.14"
"17/05/2000","92.22","92.22","92.22","92.22","92.22"
"19/05/2000","90.27","88.91","88.91","88.91","666.04"
"22/05/2000","88.91","88.81","88.81","88.81","10072.54"
"23/05/2000","89.3","88.42","88.42","88.42","10625.86"
"24/05/2000","91.64","89.78","89.78","89.78","153.7"
"25/05/2000","88.71","89.78","89.78","89.78","3237.97"
"29/05/2000","88.81","88.71","88.71","88.71","1946.88"
"30/05/2000","89","88.61","88.61","88.61","3586.36"
"31/05/2000","88.71","88.42","88.42","88.42","4918.43"
"01/06/2000","88.61","88.61","88.61","88.61","512.34"
"02/06/2000","88.61","88.71","88.71","88.71","5441.02"
"05/06/2000","88.61","88.52","88.52","88.52","4221.65"
"06/06/2000","88.71","88.81","88.81","88.81","16661.19"
"07/06/2000","88.81","88.81","88.81","88.81","4170.42"
"08/06/2000","88.81","88.81","88.81","88.81","51.23"
"09/06/2000","88.61","89.3","89.3","89.3","1209.11"
"12/06/2000","88.81","88.81","88.81","88.81","184.44"
"13/06/2000","88.81","88.81","88.81","88.81","973.44"
"14/06/2000","88.71","88.71","88.71","88.71","4293.38"
