"Date","Open","High","Low","Close","Volume"
"20/07/2004","36.68","36.68","36.68","36.68","60516.22"
"21/07/2004","38.35","38.35","38.35","38.35","16049.06"
"27/07/2004","38.64","38.64","38.64","38.64","49782.77"
"29/07/2004","37.17","37.27","37.17","37.22","44344.49"
"02/08/2004","36.78","37.17","36.78","36.78","82432.91"
"03/08/2004","36.78","36.78","36.78","36.78","71147.45"
"04/08/2004","36.78","37.17","36.78","37.17","30667"
"05/08/2004","37.08","37.42","37.08","37.42","32977.25"
"06/08/2004","37.03","37.17","37.03","37.08","20751.34"
"09/08/2004","36.88","36.88","36.88","36.88","21630.46"
"10/08/2004","36.88","36.88","36.88","36.88","24513.16"
"11/08/2004","36.88","37.03","36.88","36.98","22468.69"
"12/08/2004","36.98","37.03","36.93","36.93","37291.08"
"13/08/2004","36.93","36.98","36.93","36.98","5479.17"
"16/08/2004","36.93","36.98","36.93","36.93","37250.19"
"17/08/2004","36.88","36.93","36.88","36.88","27763.86"
"18/08/2004","36.88","36.88","36.73","36.73","26291.84"
"19/08/2004","36.68","36.73","36.54","36.54","147978.51"
"23/08/2004","36.29","36.68","36.29","36.68","8320.98"
"24/08/2004","36.54","36.68","36.49","36.68","47860.97"
"25/08/2004","36.68","36.68","36.64","36.68","18379.76"
"26/08/2004","36.59","36.68","36.59","36.68","42095.57"
"27/08/2004","36.68","37.08","36.68","37.08","34796.83"
"30/08/2004","36.73","36.93","36.73","36.78","49189.87"
"31/08/2004","36.83","36.83","36.68","36.68","66015.84"
"01/09/2004","36.68","36.68","36.68","36.68","25760.28"
"02/09/2004","36.59","36.68","36.54","36.59","35328.39"
"03/09/2004","36.54","36.59","36.54","36.59","6808.07"
"06/09/2004","36.59","36.59","36.59","36.59","27457.19"
"07/09/2004","36.68","36.68","36.49","36.68","116841.28"
"08/09/2004","36.49","36.59","36.49","36.49","97684.63"
"09/09/2004","36.29","36.49","36.29","36.39","71679.01"
"10/09/2004","36","36.2","36","36.2","61334.01"
"13/09/2004","36.2","36.2","36","36","100976.22"
"14/09/2004","35.95","36.2","35.95","36.2","29338.1"
"15/09/2004","35.95","36.2","35.95","35.95","54587.27"
"16/09/2004","35.71","35.95","35.71","35.95","25003.83"
"17/09/2004","35.95","36.29","35.95","36.2","39846.66"
"20/09/2004","36.2","36.24","36.2","36.24","61415.79"
"21/09/2004","36.24","36.29","36.2","36.2","61272.67"
"22/09/2004","36","36.05","35.95","35.95","69246.09"
"23/09/2004","36.15","36.15","35.8","35.8","30462.56"
"24/09/2004","35.71","35.71","35.51","35.51","55813.95"
"27/09/2004","35.12","35.71","35.12","35.46","50130.33"
"28/09/2004","35.12","35.22","34.87","34.87","50232.55"
"29/09/2004","34.24","35.22","34.24","35.22","45448.5"
"30/09/2004","35.27","35.71","35.27","35.31","72864.8"
"01/10/2004","34.73","34.87","34.73","34.87","38517.76"
"04/10/2004","34.87","34.87","34.48","34.87","22121.13"
"05/10/2004","34.48","34.73","34.48","34.58","8872.99"
"06/10/2004","34.48","34.68","34.48","34.68","30503.45"
"07/10/2004","34.48","34.48","34.19","34.19","89056.98"
"08/10/2004","34.19","34.19","33.85","33.85","21405.57"
"11/10/2004","34.04","34.04","34.04","34.04","18604.65"
