"Date","Open","High","Low","Close","Volume"
"03/01/2000","408.8","408.8","408.8","408.8","750"
"04/01/2000","408.8","408.8","408.8","408.8","125"
"05/01/2000","408.8","408.8","408.8","408.8","517.5"
"06/01/2000","404.8","404.8","404.8","404.8","1625"
"07/01/2000","408","408","408","408","180"
"12/01/2000","408","408","408","408","387.5"
"13/01/2000","408","408","408","408","37.5"
"14/01/2000","408.8","408.8","408.8","408.8","836.25"
"17/01/2000","408","408","408","408","562.5"
"18/01/2000","408","408","408","408","376.25"
"20/01/2000","408.8","408.8","408.8","408.8","6.25"
"21/01/2000","409.6","409.6","409.6","409.6","37.5"
"24/01/2000","410.4","410.4","410.4","410.4","793.75"
"25/01/2000","412","412","412","412","400"
"26/01/2000","411.2","411.2","411.2","411.2","250"
"27/01/2000","408","408","408","408","12.5"
"28/01/2000","408","408","408","408","1447.5"
"31/01/2000","411.2","411.2","411.2","411.2","437.5"
"02/02/2000","408","408","408","408","643.75"
"03/02/2000","408.8","408.8","408.8","408.8","50"
"04/02/2000","408","408","408","408","1980"
"07/02/2000","408","408","408","408","377.5"
"08/02/2000","405.6","405.6","405.6","405.6","157.5"
"09/02/2000","401.6","401.6","401.6","401.6","437.5"
"10/02/2000","404","404","404","404","1888.75"
"11/02/2000","404","404","404","404","472.5"
"15/02/2000","404","404","404","404","1625"
"17/02/2000","405.6","405.6","405.6","405.6","150"
"18/02/2000","408","408","408","408","13.75"
"21/02/2000","404","404","404","404","275"
"22/02/2000","403.2","403.2","403.2","403.2","252.5"
"23/02/2000","400","400","400","400","531.25"
"24/02/2000","376","376","376","376","900"
"25/02/2000","381.64","381.64","381.64","381.64","37.5"
"28/02/2000","380","380","380","380","907.5"
"29/02/2000","399.2","399.2","399.2","399.2","481.25"
"01/03/2000","400","400","400","400","312.5"
"02/03/2000","404","404","404","404","62.5"
"03/03/2000","403.2","403.2","403.2","403.2","62.5"
"06/03/2000","400","400","400","400","593.75"
"07/03/2000","400","400","400","400","425"
"08/03/2000","400","400","400","400","825"
"10/03/2000","388","388","388","388","637.5"
"13/03/2000","388","388","388","388","331.25"
"15/03/2000","388","388","388","388","1268.75"
"21/03/2000","388","388","388","388","1048.75"
"22/03/2000","388","388","388","388","263.75"
"24/03/2000","392","392","392","392","68.75"
"28/03/2000","392","392","392","392","262.5"
"29/03/2000","400","400","400","400","1750"
"30/03/2000","399.2","399.2","399.2","399.2","713.75"
"31/03/2000","399.2","399.2","399.2","399.2","375"
"03/04/2000","392","392","392","392","625"
"04/04/2000","392","392","392","392","25"
"12/04/2000","384","384","384","384","1562.5"
"13/04/2000","376","376","376","376","125"
"14/04/2000","376","376","376","376","375"
"17/04/2000","360","360","360","360","1358.75"
"18/04/2000","340.8","340.8","340.8","340.8","940"
"19/04/2000","340.8","340.8","340.8","340.8","575"
"20/04/2000","337.6","337.6","337.6","337.6","937.5"
"21/04/2000","337.6","337.6","337.6","337.6","5046.25"
"24/04/2000","352","352","352","352","37.5"
"25/04/2000","343.2","343.2","343.2","343.2","25"
"26/04/2000","344.16","344.16","344.16","344.16","470"
"28/04/2000","348","348","348","348","37.5"
"04/05/2000","344.8","344.8","344.8","344.8","1348.75"
"05/05/2000","344.08","344.08","344.08","344.08","2083.75"
"09/05/2000","348.8","348.8","348.8","348.8","4065"
"10/05/2000","360.8","360.8","360.8","360.8","4981.25"
"11/05/2000","382.44","382.44","382.44","382.44","1733.75"
"12/05/2000","403.2","403.2","403.2","403.2","692.5"
"15/05/2000","403.2","403.2","403.2","403.2","812.5"
"16/05/2000","399.2","399.2","399.2","399.2","2048.75"
"17/05/2000","390.4","390.4","390.4","390.4","437.5"
"22/05/2000","368","368","368","368","6.25"
"23/05/2000","377.6","377.6","377.6","377.6","751.25"
"24/05/2000","384.8","384.8","384.8","384.8","281.25"
