"Date","Open","High","Low","Close","Volume"
"03/01/2000","386.88","386.88","386.88","386.88","20.16"
"05/01/2000","391.96","391.96","391.96","391.96","20.16"
"06/01/2000","396.68","396.68","396.68","396.68","516.13"
"07/01/2000","394.32","394.32","394.32","394.32","34.27"
"12/01/2000","396.68","396.68","396.68","396.68","127.42"
"13/01/2000","396.8","396.8","396.8","396.8","905.24"
"14/01/2000","396.8","396.8","396.8","396.8","87.1"
"17/01/2000","391.84","391.84","391.84","391.84","532.26"
"18/01/2000","396.8","396.8","396.8","396.8","53.23"
"20/01/2000","395.31","395.31","395.31","395.31","247.98"
"21/01/2000","395.31","395.31","395.31","395.31","0.4"
"24/01/2000","395.31","395.31","395.31","395.31","45.97"
"25/01/2000","379.44","379.44","379.44","379.44","410.89"
"26/01/2000","391.84","391.84","391.84","391.84","4.03"
"28/01/2000","379.44","379.44","379.44","379.44","168.95"
"01/02/2000","384.4","384.4","384.4","384.4","286.29"
"03/02/2000","379.44","379.44","379.44","379.44","20.16"
"04/02/2000","381.92","381.92","381.92","381.92","195.56"
"07/02/2000","372","372","372","372","250.4"
"08/02/2000","372","372","372","372","221.37"
"10/02/2000","349.68","349.68","349.68","349.68","204.44"
"11/02/2000","358.36","358.36","358.36","358.36","120.97"
"14/02/2000","357.12","357.12","357.12","357.12","8.06"
"15/02/2000","354.64","354.64","354.64","354.64","88.71"
"16/02/2000","342.24","342.24","342.24","342.24","161.29"
"17/02/2000","342.24","342.24","342.24","342.24","195.56"
"18/02/2000","357.12","357.12","357.12","357.12","204.44"
"21/02/2000","347.2","347.2","347.2","347.2","60.48"
"22/02/2000","329.84","329.84","329.84","329.84","1584.68"
"23/02/2000","327.36","327.36","327.36","327.36","149.19"
"24/02/2000","322.4","322.4","322.4","322.4","493.95"
"25/02/2000","322.4","322.4","322.4","322.4","282.26"
"28/02/2000","319.92","319.92","319.92","319.92","102.82"
"29/02/2000","319.8","319.8","319.8","319.8","608.87"
"01/03/2000","319.92","319.92","319.92","319.92","112.9"
"02/03/2000","310.74","310.74","310.74","310.74","60.48"
"03/03/2000","310","310","310","310","44.35"
"06/03/2000","305.04","305.04","305.04","305.04","653.23"
"07/03/2000","307.64","307.64","307.64","307.64","201.61"
"08/03/2000","307.52","307.52","307.52","307.52","52.42"
"09/03/2000","302.56","302.56","302.56","302.56","495.97"
"10/03/2000","300.08","300.08","300.08","300.08","524.19"
"13/03/2000","292.89","292.89","292.89","292.89","192.74"
"15/03/2000","277.76","277.76","277.76","277.76","700.4"
"16/03/2000","277.76","277.76","277.76","277.76","158.87"
"20/03/2000","290.16","290.16","290.16","290.16","40.32"
"21/03/2000","277.76","277.76","277.76","277.76","484.68"
"22/03/2000","290.16","290.16","290.16","290.16","258.06"
"24/03/2000","280.24","280.24","280.24","280.24","428.23"
"27/03/2000","277.76","277.76","277.76","277.76","16.13"
"28/03/2000","275.28","275.28","275.28","275.28","189.52"
"31/03/2000","228.71","228.71","228.71","228.71","3227.82"
"04/04/2000","202.12","202.12","202.12","202.12","3268.15"
"05/04/2000","198.4","198.4","198.4","198.4","2906.45"
"11/04/2000","236.24","236.24","236.24","236.24","2302.42"
"12/04/2000","235.6","235.6","235.6","235.6","1484.68"
"13/04/2000","243.04","243.04","243.04","243.04","608.06"
"14/04/2000","241.8","241.8","241.8","241.8","697.58"
"17/04/2000","241.8","241.8","241.8","241.8","745.97"
"18/04/2000","238.08","238.08","238.08","238.08","312.5"
"19/04/2000","233.12","233.12","233.12","233.12","725.81"
"20/04/2000","235.35","235.35","235.35","235.35","655.24"
"21/04/2000","233.12","233.12","233.12","233.12","422.58"
"24/04/2000","223.2","223.2","223.2","223.2","811.69"
"26/04/2000","223.45","223.45","223.45","223.45","1814.52"
"27/04/2000","223.2","223.2","223.2","223.2","2220.97"
"28/04/2000","215.76","215.76","215.76","215.76","730.24"
"02/05/2000","210.8","210.8","210.8","210.8","504.03"
"03/05/2000","205.84","205.84","205.84","205.84","84.68"
"04/05/2000","210.8","210.8","210.8","210.8","1310.48"
"05/05/2000","220.72","220.72","220.72","220.72","140.32"
"08/05/2000","223.2","223.2","223.2","223.2","685.48"
"09/05/2000","223.2","223.2","223.2","223.2","757.26"
"10/05/2000","223.2","223.2","223.2","223.2","1350.81"
"11/05/2000","225.68","225.68","225.68","225.68","967.74"
"12/05/2000","233.12","233.12","233.12","233.12","1290.32"
"15/05/2000","233.12","233.12","233.12","233.12","770.56"
"16/05/2000","235.85","235.85","235.85","235.85","2410.08"
"17/05/2000","235.6","235.6","235.6","235.6","247.98"
"18/05/2000","235.6","235.6","235.6","235.6","846.77"
"19/05/2000","238.08","238.08","238.08","238.08","1144.35"
"22/05/2000","238.08","238.08","238.08","238.08","802.42"
"23/05/2000","235.6","235.6","235.6","235.6","181.45"
"24/05/2000","240.31","240.31","240.31","240.31","625"
"26/05/2000","269.95","269.95","269.95","269.95","4217.34"
"29/05/2000","267.84","267.84","267.84","267.84","1814.11"
"30/05/2000","257.92","257.92","257.92","257.92","1346.77"
"31/05/2000","257.92","257.92","257.92","257.92","1211.29"
"01/06/2000","257.92","257.92","257.92","257.92","362.9"
"02/06/2000","255.44","255.44","255.44","255.44","131.05"
"05/06/2000","257.92","257.92","257.92","257.92","161.29"
"06/06/2000","257.92","257.92","257.92","257.92","38.31"
